CHUNK,COLUMN,ENCODING,SORT,INDEX,STORAGE
0,0,3,0,0,0
0,1,2,0,0,1
0,2,2,0,0,1
0,3,0,0,0,0
0,4,2,0,0,0
1,0,3,0,0,0
1,1,4,0,0,0
1,2,2,0,0,1
1,3,2,0,0,1
1,4,2,0,0,0
2,0,3,0,0,0
2,1,4,0,0,0
2,2,2,0,0,1
2,3,2,0,0,1
2,4,2,0,0,0
3,0,3,0,0,0
3,1,4,0,0,0
3,2,4,0,0,0
3,3,0,0,0,0
3,4,2,0,0,0
4,0,0,1,1,1
4,1,4,1,0,0
4,2,4,1,0,0
4,3,0,1,0,0
4,4,2,1,0,0
5,0,0,1,1,1
5,1,4,1,0,0
5,2,4,1,0,0
5,3,0,1,0,0
5,4,4,1,0,0
6,0,2,1,0,1
6,1,4,1,0,1
6,2,2,1,0,1
6,3,0,1,0,1
6,4,4,1,0,0
7,0,2,1,0,1
7,1,4,1,0,1
7,2,2,1,0,1
7,3,0,1,0,0
7,4,4,1,0,0
8,0,2,1,0,1
8,1,4,1,0,1
8,2,2,1,0,1
8,3,0,1,0,1
8,4,4,1,0,0
9,0,0,1,1,1
9,1,4,1,0,1
9,2,2,1,0,1
9,3,0,1,0,1
9,4,4,1,0,0
